phase_id,phase_label,event_id,rank_type,analysis_universe,analysis_universe_label,cat_clean,semantic_within_cat,subcat_label,share_of_wallet_pre,share_of_wallet_post,share_of_wallet_diff,sales_per_active_user_diff,count_per_active_user_diff,active_subcat_user_proxy_diff,wallet_pct_shift_during_same_window,post_window_crosses_luna,n_obs_pre,n_obs_post,pre_user_weeks_sum,post_user_weeks_sum,pre_sales_sum,post_sales_sum
treasury_crypto_casspr_consultation_2022_12w,Treasury crypto CASSPr licensing consultation +/-12w,treasury_crypto_casspr_consultation_2022,exchange_leakage_positive,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Other,other_misc_crypto_binance,Other: other misc crypto binance,0.00022560978306495485,0.00027296342292827984,4.735363986332498e-05,0.2762499137754967,0.0007406076929597028,0.0002206891615938178,0.20609159250032646,True,12,12,2715.0,3246.0,1472963.3399999999,2177555.17
treasury_crypto_casspr_consultation_2022_12w,Treasury crypto CASSPr licensing consultation +/-12w,treasury_crypto_casspr_consultation_2022,exchange_leakage_positive,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Telecom & Internet,telecom_internet_misc_crypto_swyftx,Telecom & Internet: telecom internet misc crypto swyftx,4.639305188783663e-06,5.000988072460524e-06,3.6168288367686077e-07,0.0033016569284384616,4.9231445462157995e-05,2.649507078261009e-05,0.20609159250032646,True,11,12,160.0,242.0,29090.0,40078.0
treasury_crypto_casspr_consultation_2022_2w,Treasury crypto CASSPr licensing consultation +/-2w,treasury_crypto_casspr_consultation_2022,primary_crypto_negative,primary_crypto_services,Primary crypto services,Services,services_crypto,Services: services crypto,0.00020203697507189324,0.0001177687812882296,-8.426819378366364e-05,-0.2108039062162319,-0.0006600864818557311,-0.00036200173549233265,0.0363765285045368,False,2,2,526.0,364.0,243315.31,148544.68
treasury_crypto_casspr_consultation_2022_2w,Treasury crypto CASSPr licensing consultation +/-2w,treasury_crypto_casspr_consultation_2022,exchange_leakage_negative,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Education,education_misc_crypto_binance,Education: education misc crypto binance,0.0001019152427440996,6.626121722587305e-05,-3.565402551822655e-05,-0.08723680031604641,-5.020269583358558e-05,-3.904979195437874e-05,0.0363765285045368,False,2,2,214.0,198.0,122716.64,83750.78
treasury_crypto_casspr_consultation_2022_2w,Treasury crypto CASSPr licensing consultation +/-2w,treasury_crypto_casspr_consultation_2022,exchange_leakage_negative,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Other,other_misc_crypto_swyftx,Other: other misc crypto swyftx,4.909758606996165e-05,4.3472338013614555e-05,-5.625248056347098e-06,-0.009578295994970037,2.021318995378235e-06,2.3478649424210922e-05,0.0363765285045368,False,2,2,131.0,143.0,58658.65,54825.3
treasury_crypto_casspr_consultation_2022_2w,Treasury crypto CASSPr licensing consultation +/-2w,treasury_crypto_casspr_consultation_2022,exchange_leakage_positive,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Other,other_misc_crypto_binance,Other: other misc crypto binance,0.00019974222282705603,0.000233994851204998,3.425262837794196e-05,0.10335120761515526,0.0005829435589267493,0.00022919100322749087,0.0363765285045368,False,2,2,373.0,482.0,246493.66999999998,296475.64
treasury_crypto_casspr_consultation_2022_4w,Treasury crypto CASSPr licensing consultation +/-4w,treasury_crypto_casspr_consultation_2022,primary_crypto_negative,primary_crypto_services,Primary crypto services,Services,services_crypto,Services: services crypto,0.00023472033785620517,9.950132050989303e-05,-0.00013521901734631214,-0.3849719707227049,-0.0007548202394413021,-0.0004722867210607916,-0.04254623641610206,False,4,4,1105.0,669.0,596858.75,241066.72999999998
treasury_crypto_casspr_consultation_2022_4w,Treasury crypto CASSPr licensing consultation +/-4w,treasury_crypto_casspr_consultation_2022,exchange_leakage_negative,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Other,other_misc_crypto_swyftx,Other: other misc crypto swyftx,7.442829486995589e-05,4.366078005477755e-05,-3.076751481517833e-05,-0.08733717960279452,-3.35732999155283e-05,2.227591221635333e-06,-0.04254623641610206,False,4,4,273.0,274.0,185956.11000000002,105331.03
treasury_crypto_casspr_consultation_2022_4w,Treasury crypto CASSPr licensing consultation +/-4w,treasury_crypto_casspr_consultation_2022,exchange_leakage_negative,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Education,education_misc_crypto_binance,Education: education misc crypto binance,8.248289689292716e-05,5.647949410468521e-05,-2.6003402788241943e-05,-0.07271680438139055,-0.0001461421883370142,-0.00010475920189867237,-0.04254623641610206,False,4,4,435.0,338.0,204869.72999999998,138097.83
treasury_crypto_casspr_consultation_2022_4w,Treasury crypto CASSPr licensing consultation +/-4w,treasury_crypto_casspr_consultation_2022,exchange_leakage_negative,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Travel,travel_misc_crypto_binance,Travel: travel misc crypto binance,6.665526149977605e-05,6.215580161191334e-05,-4.499459887862708e-06,-0.018343310826979542,8.053413166957113e-05,5.297447560939877e-05,-0.04254623641610206,False,4,4,249.0,296.0,165716.74,148561.31
treasury_crypto_casspr_consultation_2022_4w,Treasury crypto CASSPr licensing consultation +/-4w,treasury_crypto_casspr_consultation_2022,exchange_leakage_negative,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Other,other_misc_crypto_coinspot,Other: other misc crypto coinspot,2.8639799578566458e-05,2.7434449716418295e-05,-1.205349862148163e-06,-0.005234889716657726,-3.8287390061986205e-05,2.953034557761665e-06,-0.04254623641610206,False,4,4,177.0,179.0,71708.99,66692.84
treasury_crypto_casspr_consultation_2022_4w,Treasury crypto CASSPr licensing consultation +/-4w,treasury_crypto_casspr_consultation_2022,exchange_leakage_positive,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Other,other_misc_crypto_binance,Other: other misc crypto binance,0.0002030966915686005,0.0002537712340218591,5.067454245325859e-05,0.10468024814238597,0.0004211724735545489,0.0001637034731070728,-0.04254623641610206,False,4,4,803.0,950.0,513321.61,606949.6100000001
treasury_crypto_casspr_consultation_2022_8w,Treasury crypto CASSPr licensing consultation +/-8w,treasury_crypto_casspr_consultation_2022,primary_crypto_negative,primary_crypto_services,Primary crypto services,Services,services_crypto,Services: services crypto,0.0003233986087614591,9.701398599202304e-05,-0.00022638462276943608,-0.541317806895511,-0.0007539873898033188,-0.000560420797491601,0.07612928718192326,True,8,8,2519.0,1463.0,1494307.54,489670.69000000006
treasury_crypto_casspr_consultation_2022_8w,Treasury crypto CASSPr licensing consultation +/-8w,treasury_crypto_casspr_consultation_2022,exchange_leakage_negative,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Education,education_misc_crypto_binance,Education: education misc crypto binance,9.82951397957546e-05,4.777637370938603e-05,-5.0518766086368563e-05,-0.11264954924374168,-0.00024303702743367836,-0.00015950746941006488,0.07612928718192326,True,8,8,921.0,619.0,451551.18999999994,240978.01
treasury_crypto_casspr_consultation_2022_8w,Treasury crypto CASSPr licensing consultation +/-8w,treasury_crypto_casspr_consultation_2022,exchange_leakage_negative,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Other,other_misc_crypto_swyftx,Other: other misc crypto swyftx,8.573099103665139e-05,5.78791484632914e-05,-2.7851842573359995e-05,-0.052085422058022524,-1.6636881846925555e-06,6.698707566322451e-06,0.07612928718192326,True,8,8,607.0,607.0,395567.18000000005,294018.35
treasury_crypto_casspr_consultation_2022_8w,Treasury crypto CASSPr licensing consultation +/-8w,treasury_crypto_casspr_consultation_2022,exchange_leakage_negative,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Restaurants & Dining,restaurants_dining_misc_crypto_coinjar,Restaurants & Dining: restaurants dining misc crypto coinjar,1.6721607168050302e-05,5.666470844726626e-06,-1.1055136323323676e-05,-0.02539426860964077,-4.146922954890845e-05,-4.2826756270136216e-05,0.07612928718192326,True,8,8,184.0,103.0,75484.54999999999,28213.78
treasury_crypto_casspr_consultation_2022_8w,Treasury crypto CASSPr licensing consultation +/-8w,treasury_crypto_casspr_consultation_2022,exchange_leakage_negative,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Travel,travel_misc_crypto_binance,Travel: travel misc crypto binance,6.839952204033291e-05,5.92558658388572e-05,-9.143656201475709e-06,-0.00664097814453371,9.228929516305725e-05,5.869012581265437e-05,0.07612928718192326,True,8,8,548.0,644.0,313973.35000000003,297166.82
treasury_crypto_casspr_consultation_2022_8w,Treasury crypto CASSPr licensing consultation +/-8w,treasury_crypto_casspr_consultation_2022,exchange_leakage_negative,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,Telecom & Internet,telecom_internet_misc_crypto_swyftx,Telecom & Internet: telecom internet misc crypto swyftx,5.920693205748829e-06,5.142165342654206e-06,-7.785278630946231e-07,-0.00047707560008037816,1.1199583354143134e-05,4.182802007054025e-06,0.07612928718192326,True,8,8,155.0,160.0,27449.0,26222.0
