event_id,event_name,event_date,event_week,window_weeks,outcome,treated_cohort,control_cohort,n_obs_pre_treated,n_obs_post_treated,n_obs_pre_control,n_obs_post_control,share_of_wallet_diff_treated,share_of_wallet_diff_control,share_of_wallet_did,share_of_wallet_pre_treated,share_of_wallet_post_treated,share_of_wallet_pre_control,share_of_wallet_post_control,participation_rate_diff_treated,participation_rate_diff_control,participation_rate_did,participation_rate_pre_treated,participation_rate_post_treated,participation_rate_pre_control,participation_rate_post_control,sales_per_active_user_diff_treated,sales_per_active_user_diff_control,sales_per_active_user_did,sales_per_active_user_pre_treated,sales_per_active_user_post_treated,sales_per_active_user_pre_control,sales_per_active_user_post_control,count_per_active_user_diff_treated,count_per_active_user_diff_control,count_per_active_user_did,count_per_active_user_pre_treated,count_per_active_user_post_treated,count_per_active_user_pre_control,count_per_active_user_post_control
cut_start,Fuel excise cut starts,2022-03-30,2022-03-28,2,bnpl_total,high_top10,low_positive,2,2,2,2,-0.0005828366639381993,7.635925425335081e-05,-0.0006591959181915501,0.02234089807958635,0.02175806141564815,0.00794019323021215,0.0080165524844655,0.011595024414132293,0.005087292737692983,0.00650773167643931,0.19421705563888086,0.20581208005301316,0.2166733219767305,0.2217606147144235,1.4309314954712917,-0.9130542954447378,2.3439857909160295,21.378317234841703,22.809248730312994,36.86628534920348,35.95323105375874,0.03033679784432053,0.008041106158264255,0.022295691686056274,0.44754151891322513,0.47787831675754566,0.7238761150676973,0.7319172212259616
cut_start,Fuel excise cut starts,2022-03-30,2022-03-28,2,debit_investment_like,high_top10,low_positive,2,2,2,2,-0.001584921103784602,-0.004238620917087849,0.0026536998133032466,0.0444319614923315,0.0428470403885469,0.032993018683563996,0.028754397766476147,0.008365255303674046,0.0059951967875144785,0.0023700585161595678,0.446472185515302,0.45483744081897604,0.5674791714438625,0.573474368231377,2.366119271993263,-24.160352507926234,26.526471779919497,42.56424335763057,44.930362629623836,152.65093352324536,128.49058101531912,0.03224038613406621,0.008727819906226397,0.023512566227839815,0.985565503660932,1.0178058897949982,1.422550782004723,1.4312786019109494
cut_start,Fuel excise cut starts,2022-03-30,2022-03-28,2,dining_delivery,high_top10,low_positive,2,2,2,2,-0.0014180248199894014,4.8695121506700176e-05,-0.0014667199414961016,0.013967853468010851,0.01254982864802145,0.0039401731614449,0.0039888682829516,-0.0036409887203298352,-0.005650682449436506,0.0020096937291066708,0.1893555017802271,0.18571451305989725,0.21969246938758114,0.21404178693814463,-0.20700854409196445,-0.4059414344459853,0.19893289035402084,13.363750973540412,13.156742429448448,18.27913669226379,17.873195257817805,-0.0065795219379000125,-0.01484274441235861,0.008263222474458598,0.37456219873722685,0.36798267679932684,0.48928627999003665,0.47444353557767804
cut_start,Fuel excise cut starts,2022-03-30,2022-03-28,2,direct_fuel,high_top10,low_positive,2,2,2,2,-0.0376269398420056,0.00034480883283760037,-0.0379717486748432,0.12499628649105149,0.08736934664904589,0.004673191773003399,0.005018000605841,-0.059204719100157566,0.004122820893258328,-0.0633275399934159,0.7708483239426115,0.7116436048424539,0.3060610731415295,0.31018389403478785,-27.89525560254171,0.8244933172671374,-28.719748919808847,119.48749894677826,91.59224334423655,21.664977002563532,22.48947031983067,-0.22974732530385555,0.02165438921167906,-0.2514017145155346,2.3290360554532885,2.099288730149433,0.544827137012315,0.5664815262239941
cut_start,Fuel excise cut starts,2022-03-30,2022-03-28,2,entertainment_ex_gambling,high_top10,low_positive,2,2,2,2,0.0016674524000112531,0.006382309111605901,-0.004714856711594648,0.0313977788712429,0.03306523127125415,0.0250441860712063,0.0314264951828122,-0.006521183520525664,-0.011640917765241787,0.005119734244716123,0.49594986094182425,0.4894286774212986,0.5708751475067404,0.5592342297414986,4.630059091915079,24.03429922361937,-19.40424013170429,30.035373110575627,34.665432202490706,115.99944859538911,140.03374781900848,-0.00021685780884683759,-0.03506289789676753,0.03484604008792069,0.9646173338667365,0.9644004760578897,1.3610507719907403,1.3259878740939728
cut_start,Fuel excise cut starts,2022-03-30,2022-03-28,2,gambling_lottery,high_top10,low_positive,2,2,2,2,-3.851439369415e-05,1.808946893962931e-06,-4.032334058811293e-05,0.00028847342159915,0.000249959027905,0.00010384281745143797,0.0001056517643454009,3.4523416704200505e-05,0.0005528962526896511,-0.0005183728359854506,0.009626743275860699,0.0096612666925649,0.0130786043035565,0.013631500556246151,-0.014085770311952794,-0.012324109930868576,-0.001761660381084218,0.2759806180853433,0.2618948477733905,0.48237593660707945,0.47005182667621087,1.3396718119049189e-05,0.001239824111093548,-0.0012264273929744988,0.0156121483620894,0.01562554508020845,0.0218138735462512,0.02305369765734475
cut_start,Fuel excise cut starts,2022-03-30,2022-03-28,2,gambling_total,high_top10,low_positive,2,2,2,2,-0.00022347566934059933,-0.0006364342069718996,0.0004129585376313003,0.00987621463423645,0.00965273896489585,0.0055164594535986496,0.00488002524662675,-0.002339216780951864,-0.0017461130326672514,-0.0005931037482846124,0.11434422281669121,0.11200500603573935,0.09232992943866275,0.0905838164059955,0.6809210310270348,-3.7614711561725045,4.442392187199539,9.437659619991072,10.118580651018107,25.59458676900359,21.833115612831087,0.00434258215924066,-0.015804620034800543,0.020147202194041203,0.37222901124730867,0.37657159340654933,0.3934340723300783,0.3776294522952778
cut_start,Fuel excise cut starts,2022-03-30,2022-03-28,2,grocery_ex_fuel,high_top10,low_positive,2,2,2,2,-0.008646916397563445,0.007254585112835998,-0.015901501510399443,0.11344114728279844,0.104794230885235,0.04696664639847355,0.054221231511309545,-0.012784921582776554,-0.008645121349998952,-0.004139800232777602,0.8186075827590659,0.8058226611762893,0.8544893729110586,0.8458442515610597,1.3218980378674132,22.992635274925476,-21.670737237058063,108.53507966605918,109.85697770392659,217.85683452792438,240.84946980284985,-0.04294985275000007,-0.05611625375030638,0.013166401000306305,3.036943324377478,2.993993471627478,4.090366079983365,4.034249826233059
cut_start,Fuel excise cut starts,2022-03-30,2022-03-28,2,healthcare_total,high_top10,low_positive,2,2,2,2,-0.0002791535636275516,0.011254038609852399,-0.01153319217347995,0.0183782549794037,0.01809910141577615,0.020523757360247502,0.0317777959700999,0.006155093574549325,-0.0009618302600417628,0.007116923834591088,0.23687235502652434,0.24302744860107367,0.38383594767064155,0.3828741174105998,1.3988333327994766,49.96454251140874,-48.56570917860926,17.575876477864824,18.9747098106643,95.37173568614857,145.3362781975573,0.011712072189705214,0.007399403985197006,0.004312668204508208,0.3313788679271932,0.3430909401168984,0.6775336931438022,0.6849330971289992
cut_start,Fuel excise cut starts,2022-03-30,2022-03-28,2,home_improvement,high_top10,low_positive,2,2,2,2,0.0027973744603642,0.0010844339811054982,0.0017129404792587018,0.02328914156693695,0.02608651602730115,0.018305468224623353,0.01938990220572885,0.0005033234668798681,-0.005507368315764205,0.006010691782644073,0.16931227096719514,0.169815594434075,0.21789870633027209,0.21239133801450788,5.0573951935608505,2.107864797587766,2.9495303959730848,22.29370480423451,27.35109999779536,84.8979242459655,87.00578904355326,-0.0001773588606313603,-0.01125346831988533,0.011076109459253969,0.263420832981269,0.26324347412063764,0.4010099707303362,0.38975650241045084
