event_id,event_name,event_date,event_month,window_weeks,window_months,treated_cohort,control_cohort,gross_contribution_per_active_user_diff_treated,gross_contribution_per_active_user_diff_control,gross_contribution_per_active_user_did,gross_contribution_per_active_user_pre_treated,gross_contribution_per_active_user_post_treated,gross_contribution_per_active_user_pre_control,gross_contribution_per_active_user_post_control,auto_investment_per_active_user_diff_treated,auto_investment_per_active_user_diff_control,auto_investment_per_active_user_did,auto_investment_per_active_user_pre_treated,auto_investment_per_active_user_post_treated,auto_investment_per_active_user_pre_control,auto_investment_per_active_user_post_control,lump_sum_per_active_user_diff_treated,lump_sum_per_active_user_diff_control,lump_sum_per_active_user_did,lump_sum_per_active_user_pre_treated,lump_sum_per_active_user_post_treated,lump_sum_per_active_user_pre_control,lump_sum_per_active_user_post_control,withdrawal_per_active_user_diff_treated,withdrawal_per_active_user_diff_control,withdrawal_per_active_user_did,withdrawal_per_active_user_pre_treated,withdrawal_per_active_user_post_treated,withdrawal_per_active_user_pre_control,withdrawal_per_active_user_post_control,net_flow_after_withdrawal_fee_per_active_user_diff_treated,net_flow_after_withdrawal_fee_per_active_user_diff_control,net_flow_after_withdrawal_fee_per_active_user_did,net_flow_after_withdrawal_fee_per_active_user_pre_treated,net_flow_after_withdrawal_fee_per_active_user_post_treated,net_flow_after_withdrawal_fee_per_active_user_pre_control,net_flow_after_withdrawal_fee_per_active_user_post_control,total_end_balance_per_active_user_diff_treated,total_end_balance_per_active_user_diff_control,total_end_balance_per_active_user_did,total_end_balance_per_active_user_pre_treated,total_end_balance_per_active_user_post_treated,total_end_balance_per_active_user_pre_control,total_end_balance_per_active_user_post_control,signins_per_active_user_diff_treated,signins_per_active_user_diff_control,signins_per_active_user_did,signins_per_active_user_pre_treated,signins_per_active_user_post_treated,signins_per_active_user_pre_control,signins_per_active_user_post_control,crypto_portfolio_share_diff_treated,crypto_portfolio_share_diff_control,crypto_portfolio_share_did,crypto_portfolio_share_pre_treated,crypto_portfolio_share_post_treated,crypto_portfolio_share_pre_control,crypto_portfolio_share_post_control,portfolio_switch_rate_diff_treated,portfolio_switch_rate_diff_control,portfolio_switch_rate_did,portfolio_switch_rate_pre_treated,portfolio_switch_rate_post_treated,portfolio_switch_rate_pre_control,portfolio_switch_rate_post_control
cut_start,Fuel excise cut starts,2022-03-30,2022-03-01,2,1,high_top10,low_positive,14.000543078272898,7.33300967826591,6.667533400006988,125.35479837529172,139.35534145356462,167.7723169198162,175.10532659808212,3.9376742215450236,7.017124968029577,-3.0794507464845537,60.12854006004592,64.06621428159094,86.12750893881878,93.14463390684836,5.816296302005391,-5.419091189372679,11.23538749137807,32.337497498150206,38.1537938001556,41.64593769319019,36.22684650381751,-6.547397226767714,-3.416005448598156,-3.131391778169558,110.85583975981632,104.3084425330486,142.2652655160237,138.84926006742555,20.54687919181212,10.725914856236237,9.820964335575884,11.650179428717845,32.197058620529965,22.267933670994758,32.993848527230995,35.10540031049936,59.79282395966948,-24.687423649170114,1428.5210508877974,1463.6264511982968,2822.289032842721,2882.0818568023906,0.12125550396527374,0.13907566132907223,-0.017820157363798494,0.8794372166951198,1.0006927206603935,1.1313564933345104,1.2704321546635826,-0.0006043413791056995,-0.000451283253650403,-0.0001530581254552965,0.2008006122328839,0.2001962708537782,0.171338394985433,0.1708871117317826,0.0011494709845675,6.836635944260094e-05,0.0010811046251248992,0.0300229587331488,0.0311724297177163,0.023759600953474,0.0238279673129166
cut_start,Fuel excise cut starts,2022-03-30,2022-03-01,4,1,high_top10,low_positive,14.000543078272898,7.33300967826591,6.667533400006988,125.35479837529172,139.35534145356462,167.7723169198162,175.10532659808212,3.9376742215450236,7.017124968029577,-3.0794507464845537,60.12854006004592,64.06621428159094,86.12750893881878,93.14463390684836,5.816296302005391,-5.419091189372679,11.23538749137807,32.337497498150206,38.1537938001556,41.64593769319019,36.22684650381751,-6.547397226767714,-3.416005448598156,-3.131391778169558,110.85583975981632,104.3084425330486,142.2652655160237,138.84926006742555,20.54687919181212,10.725914856236237,9.820964335575884,11.650179428717845,32.197058620529965,22.267933670994758,32.993848527230995,35.10540031049936,59.79282395966948,-24.687423649170114,1428.5210508877974,1463.6264511982968,2822.289032842721,2882.0818568023906,0.12125550396527374,0.13907566132907223,-0.017820157363798494,0.8794372166951198,1.0006927206603935,1.1313564933345104,1.2704321546635826,-0.0006043413791056995,-0.000451283253650403,-0.0001530581254552965,0.2008006122328839,0.2001962708537782,0.171338394985433,0.1708871117317826,0.0011494709845675,6.836635944260094e-05,0.0010811046251248992,0.0300229587331488,0.0311724297177163,0.023759600953474,0.0238279673129166
cut_start,Fuel excise cut starts,2022-03-30,2022-03-01,6,2,high_top10,low_positive,-0.10572915568042163,-9.62672395916806,9.520994803487639,128.4895046259942,128.38377547031376,177.9793657213773,168.35264176220923,0.7061459638584182,2.495886447458602,-1.789740483600184,61.19058180789484,61.896727771753255,88.32550771470554,90.82139416216414,-1.6838485754962562,-14.146389281188696,12.46254070569244,34.45816348510651,32.774314909610254,49.555797667826226,35.40940838663753,-20.004521848059227,-27.26822354898951,7.263701700930284,116.54416753582734,96.53964568776811,152.30875192236905,125.04052837337954,18.67950667081595,14.858544982147787,3.820961688668163,13.606739484346011,32.28624615516196,31.47923898985957,46.33778397200736,1.6461429446912916,11.648166500414845,-10.002023555723554,1454.4718503117965,1456.1179932564878,2860.716832382722,2872.3649988831366,0.09469046618939847,0.1311550231159906,-0.03646455692659212,0.8648592531966313,0.9595497193860297,1.1140014635775763,1.245156486693567,-0.0017537533678332606,-0.0010252435595080045,-0.0007285098083252561,0.20157385883557571,0.19982010546774245,0.1717579003840313,0.1707326568245233,-0.004681101949595302,-0.004957744140358704,0.00027664219076340216,0.0338851107258388,0.0292040087762435,0.027127362998475152,0.022169618858116448
cut_start,Fuel excise cut starts,2022-03-30,2022-03-01,8,2,high_top10,low_positive,-0.10572915568042163,-9.62672395916806,9.520994803487639,128.4895046259942,128.38377547031376,177.9793657213773,168.35264176220923,0.7061459638584182,2.495886447458602,-1.789740483600184,61.19058180789484,61.896727771753255,88.32550771470554,90.82139416216414,-1.6838485754962562,-14.146389281188696,12.46254070569244,34.45816348510651,32.774314909610254,49.555797667826226,35.40940838663753,-20.004521848059227,-27.26822354898951,7.263701700930284,116.54416753582734,96.53964568776811,152.30875192236905,125.04052837337954,18.67950667081595,14.858544982147787,3.820961688668163,13.606739484346011,32.28624615516196,31.47923898985957,46.33778397200736,1.6461429446912916,11.648166500414845,-10.002023555723554,1454.4718503117965,1456.1179932564878,2860.716832382722,2872.3649988831366,0.09469046618939847,0.1311550231159906,-0.03646455692659212,0.8648592531966313,0.9595497193860297,1.1140014635775763,1.245156486693567,-0.0017537533678332606,-0.0010252435595080045,-0.0007285098083252561,0.20157385883557571,0.19982010546774245,0.1717579003840313,0.1707326568245233,-0.004681101949595302,-0.004957744140358704,0.00027664219076340216,0.0338851107258388,0.0292040087762435,0.027127362998475152,0.022169618858116448
cut_start,Fuel excise cut starts,2022-03-30,2022-03-01,12,3,high_top10,low_positive,-9.899408377180379,-22.583090971238676,12.683682594058297,133.46644128910285,123.56703291192247,186.10055147889352,163.51746050765485,-3.7621936207514324,-2.261394901952201,-1.5007987187992313,64.43574050834671,60.67354688759528,91.79011337103613,89.52871846908393,-4.462725654855856,-19.559299358399812,15.096573703543957,34.95710627431205,30.494380619456198,52.35419191010411,32.7948925517043,-16.031850153916324,-20.168815049863582,4.1369648959472585,117.3119826272943,101.28013247337798,148.76163597260614,128.59282092274256,5.348147539508211,-4.265603281779491,9.613750821287702,16.300635388391104,21.648782927899315,40.12865097903079,35.8630476972513,-58.53695414563822,-76.80603028414771,18.26907613850949,1495.0510336985062,1436.514079552868,2924.2897465211913,2847.4837162370436,0.0888334524396992,0.13563223954047832,-0.046798787100779116,0.8795100795523293,0.9683435319920285,1.1287084959897695,1.2643407355302478,-0.005445377316304595,-0.003067734151853102,-0.002377643164451493,0.2030714670168148,0.1976260897005102,0.17253534493825995,0.16946761078640685,0.00809356034923453,0.005857476764201699,0.002236083585032831,0.02259007381722587,0.0306836341664604,0.0180849086656501,0.0239423854298518
restore,Fuel excise cut ends / full rate restored,2022-09-29,2022-09-01,2,1,high_top10,low_positive,-15.416842631140767,-17.10334138497788,1.686498753837114,113.30008714959764,97.88324451845688,153.77019596948188,136.666854584504,0.20204551762421374,-0.9949413946717272,1.196986912295941,55.49963918956425,55.70168470718846,81.4503031436326,80.45536174896087,-13.799160144324185,-14.817322377997503,1.0181622336733174,28.567517069109087,14.768356924784902,33.759389652298424,18.94206727430092,13.65861948376353,1.9594854713348724,11.699134012428658,73.43211379406046,87.09073327782399,105.86319417434233,107.8226796456772,-28.984607293825405,-18.959833747203263,-10.024773546622143,37.1922724677343,8.207665173908895,44.85002910296419,25.89019535576093,-72.98972622329757,-137.18031413610106,64.1905879128035,1435.3778752137453,1362.3881489904477,2800.3598932055984,2663.1795790694973,-0.1463780183180683,-0.20410258943281812,0.05772457111474982,0.9858451290591174,0.8394671107410491,1.3490372491611993,1.1449346597283812,-0.001720788232028897,-0.0016793081627990147,-4.148006922988223e-05,0.1871218429086872,0.1854010546766583,0.1614130318637403,0.1597337237009413,0.0019428254232583993,0.0019445699972817,-1.7445740233008183e-06,0.0152095475992228,0.0171523730224812,0.013527664394247,0.0154722343915287
restore,Fuel excise cut ends / full rate restored,2022-09-29,2022-09-01,4,1,high_top10,low_positive,-15.416842631140767,-17.10334138497788,1.686498753837114,113.30008714959764,97.88324451845688,153.77019596948188,136.666854584504,0.20204551762421374,-0.9949413946717272,1.196986912295941,55.49963918956425,55.70168470718846,81.4503031436326,80.45536174896087,-13.799160144324185,-14.817322377997503,1.0181622336733174,28.567517069109087,14.768356924784902,33.759389652298424,18.94206727430092,13.65861948376353,1.9594854713348724,11.699134012428658,73.43211379406046,87.09073327782399,105.86319417434233,107.8226796456772,-28.984607293825405,-18.959833747203263,-10.024773546622143,37.1922724677343,8.207665173908895,44.85002910296419,25.89019535576093,-72.98972622329757,-137.18031413610106,64.1905879128035,1435.3778752137453,1362.3881489904477,2800.3598932055984,2663.1795790694973,-0.1463780183180683,-0.20410258943281812,0.05772457111474982,0.9858451290591174,0.8394671107410491,1.3490372491611993,1.1449346597283812,-0.001720788232028897,-0.0016793081627990147,-4.148006922988223e-05,0.1871218429086872,0.1854010546766583,0.1614130318637403,0.1597337237009413,0.0019428254232583993,0.0019445699972817,-1.7445740233008183e-06,0.0152095475992228,0.0171523730224812,0.013527664394247,0.0154722343915287
restore,Fuel excise cut ends / full rate restored,2022-09-29,2022-09-01,6,2,high_top10,low_positive,-15.261799888981614,-14.294122026992596,-0.9676778619890172,107.47900249791857,92.21720260893696,143.79284476310488,129.49872273611228,-1.9320674437968393,-2.5365895042949944,0.6045220604981552,54.26091312794894,52.3288456841521,79.38060441732739,76.8440149130324,-11.192878434637809,-10.224767803941887,-0.9681106306959215,25.133378295864564,13.940499861226755,27.410134475242025,17.185366671300137,33.65330419095196,14.042787468303999,19.610516722647958,67.0791362753261,100.73244046627806,97.97637809074007,112.01916555904407,-55.16989195788291,-41.5003574066629,-13.66953455122001,48.912294842564314,-6.257597115318595,65.327525491656,23.8271680849931,-40.34537169835812,-57.030924838555165,16.685553140197044,1417.1247633908488,1376.7793916924907,2780.407886131431,2723.376961292876,-0.218262558978629,-0.2835249185799429,0.06526235960131388,0.9582847626977519,0.7400222037191229,1.3012736947834076,1.0177487762034647,-0.0017762975298362405,-0.002230443149107003,0.0004541456192707627,0.18667776852622808,0.18490147099639184,0.1612901502361464,0.1590597070870394,0.0001387732445184489,0.00045389517990259906,-0.00031512193538415015,0.0174854288093255,0.01762420205384395,0.014297010236573801,0.0147509054164764
restore,Fuel excise cut ends / full rate restored,2022-09-29,2022-09-01,8,2,high_top10,low_positive,-15.261799888981614,-14.294122026992596,-0.9676778619890172,107.47900249791857,92.21720260893696,143.79284476310488,129.49872273611228,-1.9320674437968393,-2.5365895042949944,0.6045220604981552,54.26091312794894,52.3288456841521,79.38060441732739,76.8440149130324,-11.192878434637809,-10.224767803941887,-0.9681106306959215,25.133378295864564,13.940499861226755,27.410134475242025,17.185366671300137,33.65330419095196,14.042787468303999,19.610516722647958,67.0791362753261,100.73244046627806,97.97637809074007,112.01916555904407,-55.16989195788291,-41.5003574066629,-13.66953455122001,48.912294842564314,-6.257597115318595,65.327525491656,23.8271680849931,-40.34537169835812,-57.030924838555165,16.685553140197044,1417.1247633908488,1376.7793916924907,2780.407886131431,2723.376961292876,-0.218262558978629,-0.2835249185799429,0.06526235960131388,0.9582847626977519,0.7400222037191229,1.3012736947834076,1.0177487762034647,-0.0017762975298362405,-0.002230443149107003,0.0004541456192707627,0.18667776852622808,0.18490147099639184,0.1612901502361464,0.1590597070870394,0.0001387732445184489,0.00045389517990259906,-0.00031512193538415015,0.0174854288093255,0.01762420205384395,0.014297010236573801,0.0147509054164764
restore,Fuel excise cut ends / full rate restored,2022-09-29,2022-09-01,12,3,high_top10,low_positive,-12.858113794056678,-11.243468156465383,-1.6146456375912948,104.51072051068564,91.65260671662897,142.06264296824523,130.81917481177985,-2.780205939494863,-4.107292797016456,1.3270868575215928,54.32734406513091,51.547138125636046,79.91855341220128,75.81126061518482,-7.912034785822751,-5.4227953352688445,-2.4892394505539066,22.041795540753082,14.12976075493033,24.871009714844842,19.448214379575997,20.892974558238464,0.11190749401151834,20.781067064226946,79.27334313997596,100.16631769821443,116.49604528013201,116.60795277414353,-37.81922134933131,-20.005484381804823,-17.813736967526484,29.992750792417525,-7.826470556913786,37.509140970957844,17.50365658915302,24.86421125991228,72.75599854247366,-47.89178728256138,1376.8238252225844,1401.6880364824967,2718.2575723482228,2791.0135708906964,-0.19611434915348325,-0.24113495030088505,0.045020601147401806,0.9494865389952817,0.7533721898417984,1.2802679763820768,1.0391330260811917,-0.0030900175779442762,-0.003476715699185423,0.0003866981212411469,0.18739938939772405,0.18430937181977977,0.16179174089373916,0.15831502519455373,-0.004144694236284597,-0.0033769706014166647,-0.0007677236348679322,0.020334906096771164,0.016190211860486567,0.017036184290616065,0.0136592136891994
