layer,phase_id,phase_label,phase_group,event_date,event_week,window,pre_start,pre_end_exclusive,post_start,post_end_exclusive,n_obs_pre,n_obs_post,wallet_pct_shift_during_same_window,post_window_truncated,analysis_universe,consumption_lens,analysis_universe_label,consumption_lens_label,clean_pre_sales_sum,clean_pre_count_sum,clean_pre_user_weeks_sum,clean_pre_source_rows,clean_post_sales_sum,clean_post_count_sum,clean_post_user_weeks_sum,clean_post_source_rows,noise_pre_sales_sum,noise_pre_count_sum,noise_pre_user_weeks_sum,noise_pre_source_rows,noise_post_sales_sum,noise_post_count_sum,noise_post_user_weeks_sum,noise_post_source_rows,noise_sales_share_window,support_ok,plot_eligible,share_of_wallet_pre,share_of_wallet_post,share_of_wallet_diff,share_of_wallet_pct_change,sales_per_active_user_pre,sales_per_active_user_post,sales_per_active_user_diff,sales_per_active_user_pct_change,count_per_active_user_pre,count_per_active_user_post,count_per_active_user_diff,count_per_active_user_pct_change,active_subcat_user_proxy_pre,active_subcat_user_proxy_post,active_subcat_user_proxy_diff,active_subcat_user_proxy_pct_change
consumption_lens,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,diagnostic_pos_terminal,reopening_foreign_pos,POS-terminal / reopening diagnostic,POS-terminal / reopening diagnostic,25081291.580000006,1919.0,705.0,18,53901580.65999998,3554.0,1154.0,18,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,False,0.020418151910762482,0.04257578602079174,0.02215763411002926,1.0851929306270804,54.99912185129995,116.73152440956692,61.73240255826697,1.1224252402642294,0.00420337356160586,0.007716297763225317,0.003512924201619457,0.835739234244357,0.00154422429126763,0.0025065020542580103,0.0009622777629903802,0.6231463709202898
consumption_lens,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,primary_domestic,charity_prosocial,Primary domestic,Charity/prosocial,240556.65000000002,6425.0,5785.0,22,207902.63,5471.0,4810.0,22,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,True,0.00019307817981827795,0.00016612674617948718,-2.6951433638790776e-05,-0.13958818994542535,0.5269086320902353,0.4512989401189206,-0.07560969197131473,-0.14349677983329423,0.014078254209468876,0.011879300567568933,-0.002198953641899943,-0.15619505154417168,0.012675974590069033,0.01044498371698572,-0.0022309908730833126,-0.1760015261336338
consumption_lens,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,primary_domestic,direct_fuel,Primary domestic,Direct fuel,16078400.199999902,363724.0,234346.0,17,14412551.749999959,351223.0,226377.0,16,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,True,0.012970634679283988,0.011547090281040673,-0.0014235443982433156,-0.10975132932522766,35.23179504599376,31.302582530279388,-3.929212515714376,-0.1115246189013344,0.7969766943710204,0.762887047150137,-0.03408964722088337,-0.042773706510686814,0.513484599499694,0.4916988138423791,-0.021785785657314927,-0.042427339940753
consumption_lens,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,primary_domestic,education_business_pets,Primary domestic,Education/business/pets,2161410.9300000025,32564.0,22673.0,14,2112412.2600000035,31375.0,21664.0,14,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,True,0.0017402037677900404,0.001687155035271598,-5.304873251844237e-05,-0.030484207367170134,4.735453683518432,4.585023944250901,-0.15042973926753067,-0.03176670057846743,0.0713499667677372,0.06815510480991861,-0.0031948619578185816,-0.04477734331984615,0.04967805945414089,0.047055043472212156,-0.002623015981928732,-0.05280029072693764
consumption_lens,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,primary_domestic,essentials_grocery_health,Primary domestic,Essentials: grocery/health,47282502.8000028,983029.0,436777.0,16,46840816.620002955,976095.0,433814.0,16,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,True,0.03811199379824835,0.03754480096541042,-0.0005671928328379316,-0.014882266087690225,103.60104188477133,101.74270793196217,-1.8583339528091614,-0.017937406024121503,2.153938870551878,2.120269337207702,-0.03366953334417566,-0.015631610443776856,0.9570318595099578,0.9422283477875464,-0.014803511722411455,-0.015468149336210709
consumption_lens,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,primary_domestic,financial_obligations,Primary domestic,Financial obligations,11507307.379999697,233963.0,85823.0,14,11624132.38999965,244423.0,95470.0,14,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,True,0.009270646847251865,0.00931018382749784,3.953698024597614e-05,0.004264748824694606,25.212713644710874,25.244832257806085,0.03211861309521069,0.0012739054410332597,0.5126197994104051,0.5308693585097279,0.0182495590993228,0.035600573993265015,0.18804449193478612,0.20735763847759542,0.0193131465428093,0.1027051967547505
consumption_lens,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,primary_domestic,hedonic_leisure_dining,Primary domestic,Hedonic/leisure/dining,21475505.559999503,572644.0,334614.0,52,20536179.669999585,560724.0,328721.0,52,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,True,0.01730840718652172,0.016465177369566382,-0.0008432298169553376,-0.04871793272878232,47.05473198929282,44.609082160985714,-2.445649828307104,-0.051974577793017826,1.2547351682339252,1.217943660439603,-0.036791507794322165,-0.02932213006040728,0.7331837024576544,0.7139564912829963,-0.019227211174658088,-0.026224275185342885
consumption_lens,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,primary_domestic,mobility_transport_ex_fuel,Primary domestic,Mobility/transport ex-fuel,257004.59999999992,1674.0,1471.0,2,266662.79000000004,1651.0,1428.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,False,0.00020743582380429587,0.00021375099501819085,6.315171213894987e-06,0.0304439758672205,0.5631843926178395,0.5792224882483583,0.016038095630518834,0.02847752146676021,0.003668094100621632,0.003588457913586112,-7.963618703552e-05,-0.02171050819607492,0.003223290718102085,0.0031035558941184278,-0.00011973482398365716,-0.037146765357286345
consumption_lens,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,primary_domestic,shopping_home_personal,Primary domestic,Shopping/home/personal,27450615.99999886,482725.0,326323.0,74,28655580.489999063,487923.0,331189.0,73,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,True,0.022111581298729557,0.02292734995742217,0.0008157686586926123,0.036893275413978785,60.14403291492736,62.219815567616834,2.075782652689476,0.034513526148564615,1.0577134014054574,1.0598730283185165,0.002159626913059043,0.002041788361752244,0.7150158423019287,0.7193777506015276,0.004361908299598927,0.0061004358806319
consumption_lens,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,primary_domestic,utilities_housing_bills,Primary domestic,Utilities/housing/bills,44132833.92999994,247027.0,211910.0,36,28092733.179999918,238062.0,204809.0,36,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,True,0.03585788994265462,0.022501319744652526,-0.013356570198002092,-0.37248622881498206,96.76100626161843,61.011156956429396,-35.74984930518904,-0.369465456038459,0.5412178214111244,0.5171035946353262,-0.02411422677579822,-0.04455549285669285,0.464281311133803,0.44487595794311585,-0.019405353190687147,-0.041796541720143986
