layer,phase_id,phase_label,phase_group,event_date,event_week,window,pre_start,pre_end_exclusive,post_start,post_end_exclusive,n_obs_pre,n_obs_post,wallet_pct_shift_during_same_window,post_window_truncated,analysis_universe,cat_clean,semantic_within_cat,subcat_key,analysis_universe_label,subcat_label,consumption_lens,consumption_lens_label,clean_pre_sales_sum,clean_pre_count_sum,clean_pre_user_weeks_sum,clean_pre_source_rows,clean_post_sales_sum,clean_post_count_sum,clean_post_user_weeks_sum,clean_post_source_rows,noise_pre_sales_sum,noise_pre_count_sum,noise_pre_user_weeks_sum,noise_pre_source_rows,noise_post_sales_sum,noise_post_count_sum,noise_post_user_weeks_sum,noise_post_source_rows,noise_sales_share_window,support_ok,plot_eligible,share_of_wallet_pre,share_of_wallet_post,share_of_wallet_diff,share_of_wallet_pct_change,sales_per_active_user_pre,sales_per_active_user_post,sales_per_active_user_diff,sales_per_active_user_pct_change,count_per_active_user_pre,count_per_active_user_post,count_per_active_user_diff,count_per_active_user_pct_change,active_subcat_user_proxy_pre,active_subcat_user_proxy_post,active_subcat_user_proxy_diff,active_subcat_user_proxy_pct_change
subcategory,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,primary_domestic,Loans,loans_bnpl_afterpay,Loans :: loans_bnpl_afterpay,Primary domestic,Loans: loans bnpl afterpay,financial_obligations,Financial obligations,8934909.269999694,207104.0,69830.0,2,8824457.529999647,205780.0,69637.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,True,0.0072006070619390185,0.007072070044458277,-0.00012853701748074143,-0.01785085845888781,19.577052528831977,19.166958730614954,-0.41009379821702296,-0.020947678288805734,0.45377526139336666,0.4469230049093673,-0.006852256483999342,-0.015100551014964407,0.15300482864330678,0.15125343804032038,-0.0017513906029864024,-0.011446636152048115
subcategory,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,primary_domestic,Home Improvement,home_bunnings,Home Improvement :: home_bunnings,Primary domestic,Home Improvement: home bunnings,shopping_home_personal,Shopping/home/personal,7043434.129999755,85408.0,53829.0,2,6691830.259999802,82097.0,52001.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,True,0.00567532414855128,0.0053706725935164686,-0.00030465155503481105,-0.053680027265504894,15.432484953399701,14.539110997182672,-0.8933739562170295,-0.05788918368718212,0.18713513986476127,0.1783338567921542,-0.00880128307260708,-0.04703169633970182,0.1179422475634077,0.11295703623168449,-0.004985211331723208,-0.042268240895130274
subcategory,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,secondary_travel_cycle,Travel,travel_airline,Travel :: travel_airline,Secondary travel cycle,Travel: travel airline,mobility_transport_ex_fuel,Mobility/transport ex-fuel,6695021.830000002,16087.0,10112.0,2,7343570.680000003,16126.0,9966.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,True,0.005399685140296139,0.005869510600859556,0.00046982546056341737,0.08700978822955044,14.670194176685019,15.941715254421837,1.2715210777368178,0.08667377285009732,0.035248167299141264,0.035028700838841575,-0.00021946646029968875,-0.006226322589686401,0.022156674713767616,0.021649703574274443,-0.0005069711394931724,-0.022881192509368427
subcategory,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,primary_domestic,Insurance,insurance_health,Insurance :: insurance_health,Primary domestic,Insurance: insurance health,utilities_housing_bills,Utilities/housing/bills,6895144.649999991,51041.0,46593.0,2,5962397.930000015,47492.0,43291.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,True,0.005531257887699314,0.004781152497307384,-0.0007501053903919298,-0.13561208058298121,15.102289397965915,12.952030064502464,-2.1502593334634508,-0.14237969335649622,0.1118084821560322,0.10316904057024316,-0.00863944158578904,-0.07727000151681186,0.10206591437945065,0.09403743177202584,-0.008028482607424808,-0.07865978232044543
subcategory,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,primary_domestic,Groceries,grocery_alcohol_attached,Groceries :: grocery_alcohol_attached,Primary domestic,Groceries: grocery alcohol attached,hedonic_leisure_dining,Hedonic/leisure/dining,5192666.089999739,110669.0,74430.0,2,5021915.119999769,107530.0,72153.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,True,0.004182279951825482,0.004031886018106138,-0.00015039393371934356,-0.03595979596098047,11.376987730516582,10.911740260683544,-0.465247469833038,-0.04089373047182789,0.24247827043048253,0.233643619151976,-0.008834651278506522,-0.03643481645931394,0.1630775465172698,0.15675652199458306,-0.006321024522686736,-0.0387608512494842
subcategory,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,secondary_travel_cycle,Travel,travel_transfer_misc,Travel :: travel_transfer_misc,Secondary travel cycle,Travel: travel transfer misc,mobility_transport_ex_fuel,Mobility/transport ex-fuel,3427440.780000002,17601.0,12465.0,2,3236276.3200000003,18104.0,12750.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,True,0.002747648725003331,0.0025983136216968915,-0.00014933510330643936,-0.05435014379658678,7.506657254244067,7.031884007190632,-0.4747732470534354,-0.06324695946188445,0.038565208014728826,0.039321004324305964,0.0007557963095771378,0.019597879759613485,0.02731167132170264,0.027690034895588106,0.00037836357388546654,0.013853548888632383
subcategory,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,diagnostic_pos_terminal,Entertainment & Recreation,ent_foreign_pos,Entertainment & Recreation :: ent_foreign_pos,POS-terminal / reopening diagnostic,Entertainment & Recreation: ent foreign pos,reopening_foreign_pos,POS-terminal / reopening diagnostic,12684.880000000001,123.0,71.0,2,145188.22999999998,214.0,120.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,False,1.0146709432501945e-05,0.00011377535687055507,0.00010362864743805313,10.213029960837332,0.02777717607053168,0.3139243452617456,0.28614716919121397,10.30152123688277,0.00026943281381196373,0.0004642487707199001,0.0001948159569079364,0.7230595047116192,0.00015557490120266508,0.0002605698645635037,0.0001049949633608386,0.6748836897801609
subcategory,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,primary_domestic,Telecom & Internet,telco_telstra,Telecom & Internet :: telco_telstra,Primary domestic,Telecom & Internet: telco telstra,utilities_housing_bills,Utilities/housing/bills,3977990.7899999814,36381.0,31028.0,2,3554755.9599999813,33392.0,28278.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,True,0.0032098762784539326,0.002843168708684153,-0.0003667075697697795,-0.11424352154358039,8.716941147357502,7.717885743032306,-0.9990554043251967,-0.11461077772999022,0.07972097925908553,0.07250382204082018,-0.007217157218265352,-0.09053021281650699,0.06799105691017612,0.06139842024524285,-0.006592636664933274,-0.09696329141702993
subcategory,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,primary_domestic,Groceries,grocery_fuel_attached,Groceries :: grocery_fuel_attached,Primary domestic,Groceries: grocery fuel attached,direct_fuel,Direct fuel,2925693.09000001,72521.0,47628.0,2,2893047.7900000094,71289.0,46992.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,True,0.0023604581407005044,0.0023173320379199524,-4.3126102780551966e-05,-0.018270225612962404,6.41098253770792,6.2831102895319475,-0.1278722481759722,-0.019945811336071678,0.15890922882175407,0.1548486605347692,-0.004060568286984867,-0.025552753084841544,0.10436330651547143,0.10207008834365618,-0.002293218171815256,-0.02197341430031537
subcategory,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,primary_domestic,Automotive & Fuel,auto_fuel_bp,Automotive & Fuel :: auto_fuel_bp,Primary domestic,Automotive & Fuel: auto fuel bp,direct_fuel,Direct fuel,4738807.329999933,82163.0,54169.0,2,4102227.109999951,78556.0,52051.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,True,0.003830550710467527,0.0032854168708936204,-0.0005451338395739067,-0.14231213232192713,10.385567593190498,8.908942307337583,-1.476625285852915,-0.14218050892289155,0.18002767438384598,0.17064633424566533,-0.00938134013818065,-0.05211054450538658,0.11868963734370123,0.11306520268756344,-0.0056244346561377945,-0.0473877482652556
subcategory,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,primary_domestic,Restaurants & Dining,resto_delivery_uber_eats,Restaurants & Dining :: resto_delivery_uber_eats,Primary domestic,Restaurants & Dining: resto delivery uber eats,hedonic_leisure_dining,Hedonic/leisure/dining,4871018.549999723,134785.0,65484.0,2,4713594.739999754,128503.0,63057.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,True,0.00392600182593961,0.0037755589519182413,-0.00015044287402136893,-0.03831961386960472,10.67286550338249,10.236949768571362,-0.4359157348111271,-0.04084336438728427,0.2953276365352558,0.2790731375828235,-0.016254498952432306,-0.055038868502548244,0.14348198848585375,0.13693971791269025,-0.006542270573163506,-0.04559645877648625
subcategory,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,primary_domestic,Electronics & Merchandise,elec_retail_kmart,Electronics & Merchandise :: elec_retail_kmart,Primary domestic,Electronics & Merchandise: elec retail kmart,shopping_home_personal,Shopping/home/personal,3083068.0500000725,73320.0,55354.0,2,3390037.990000167,77417.0,57747.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,True,0.0024857278763360854,0.002723654545747524,0.00023792666941143846,0.0957171022928454,6.755467706653249,7.36702828444918,0.611560577795931,0.09052823643781527,0.1606511896140833,0.1682074792545424,0.007556289640459096,0.04703537931222815,0.12128510801434231,0.12545423972316852,0.0041691317088262125,0.03437463821471966
