layer,phase_id,phase_label,phase_group,event_date,event_week,window,pre_start,pre_end_exclusive,post_start,post_end_exclusive,n_obs_pre,n_obs_post,wallet_pct_shift_during_same_window,post_window_truncated,analysis_universe,cat_clean,analysis_universe_label,clean_pre_sales_sum,clean_pre_count_sum,clean_pre_user_weeks_sum,clean_pre_source_rows,clean_post_sales_sum,clean_post_count_sum,clean_post_user_weeks_sum,clean_post_source_rows,noise_pre_sales_sum,noise_pre_count_sum,noise_pre_user_weeks_sum,noise_pre_source_rows,noise_post_sales_sum,noise_post_count_sum,noise_post_user_weeks_sum,noise_post_source_rows,noise_sales_share_window,support_ok,plot_eligible,share_of_wallet_pre,share_of_wallet_post,share_of_wallet_diff,share_of_wallet_pct_change,sales_per_active_user_pre,sales_per_active_user_post,sales_per_active_user_diff,sales_per_active_user_pct_change,count_per_active_user_pre,count_per_active_user_post,count_per_active_user_diff,count_per_active_user_pct_change,active_subcat_user_proxy_pre,active_subcat_user_proxy_post,active_subcat_user_proxy_diff,active_subcat_user_proxy_pct_change
category,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,diagnostic_pos_terminal,Automotive & Fuel,POS-terminal / reopening diagnostic,1762.95,41.0,25.0,2,30349.02,85.0,54.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,False,1.425637814999765e-06,2.5449196134865364e-05,2.40235583198656e-05,16.85109504469027,0.0038638052415279327,0.06654259393265931,0.06267878869113137,16.222036250032414,8.985122795266387e-05,0.00018490987188245558,9.505864392979171e-05,1.0579559800771032,5.4763012705777244e-05,0.00011746605791379171,6.270304520801447e-05,1.1449889644475237
category,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,diagnostic_pos_terminal,Electronics & Merchandise,POS-terminal / reopening diagnostic,10078.929999999998,66.0,40.0,2,8871.119999999997,105.0,66.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,False,8.294148706856703e-06,7.2969736477104976e-06,-9.971750591462053e-07,-0.12022632995738901,0.02212058929961261,0.01937208397175637,-0.002748505327856237,-0.124250999402822,0.00014455380563542717,0.00022815761208929623,8.360380645386906e-05,0.5783576993104046,8.76349218346135e-05,0.00014343354418263452,5.579862234802103e-05,0.6367167469302407
category,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,diagnostic_pos_terminal,Entertainment & Recreation,POS-terminal / reopening diagnostic,12684.880000000001,123.0,71.0,2,145188.22999999998,214.0,120.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,False,1.0146709432501945e-05,0.00011377535687055507,0.00010362864743805313,10.213029960837332,0.02777717607053168,0.3139243452617456,0.28614716919121397,10.30152123688277,0.00026943281381196373,0.0004642487707199001,0.0001948159569079364,0.7230595047116192,0.00015557490120266508,0.0002605698645635037,0.0001049949633608386,0.6748836897801609
category,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,diagnostic_pos_terminal,Groceries,POS-terminal / reopening diagnostic,520218.0,207.0,91.0,2,7196014.48,350.0,147.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,False,0.00042992979980416144,0.005931896605856042,0.005501966806051881,12.79736089137831,1.1421351707844674,15.721191640387456,14.579056469602989,12.764738222350221,0.0004534067218920217,0.0007598973021397063,0.0003064905802476846,0.6759727314335561,0.00019930674583736876,0.00031932644620132257,0.0001200197003639538,0.6021858410246086
category,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,diagnostic_pos_terminal,Healthcare & Medical,POS-terminal / reopening diagnostic,21459.589999999997,43.0,33.0,2,301541.93,84.0,58.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,False,1.7125643003136494e-05,0.0002297790327108037,0.00021265338970766722,12.417249949022095,0.046983310941658,0.6483813795106189,0.6013980685689609,12.800248780162663,9.415289763890108e-05,0.0001822434575003605,8.809055986145942e-05,0.9356117769132059,7.224164905428879e-05,0.00012572934198802198,5.348769293373319e-05,0.7403996674209055
category,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,diagnostic_pos_terminal,Other,POS-terminal / reopening diagnostic,13764562.06,579.0,164.0,2,15055537.49000001,1007.0,248.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,False,0.011192506537347262,0.012137901545303462,0.0009453950079561999,0.08446678184208307,30.180625045056814,32.7409555290306,2.560330483973786,0.08483358048918653,0.0012682231391322005,0.002186610343714535,0.0009183872045823345,0.7241526954087542,0.0003591732442224354,0.0005384199830650051,0.00017924673884256968,0.49905370660505677
category,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,diagnostic_pos_terminal,Personal & Family,POS-terminal / reopening diagnostic,1203980.47,104.0,50.0,2,7836696.340000002,225.0,107.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,False,0.0009983354101285003,0.006030557048332205,0.005032221638203705,5.0406121902016725,2.6440442888956732,16.883209203857774,14.239164914962101,5.3853730721391635,0.00022772589772243292,0.0004874556318829557,0.0002597297341605228,1.1405366572628388,0.0001094958079000475,0.00023226570144548834,0.00012276989354544082,1.1212291675815615
category,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,diagnostic_pos_terminal,Restaurants & Dining,POS-terminal / reopening diagnostic,9509587.390000002,642.0,174.0,2,21437965.249999978,1219.0,252.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,False,0.007730657470234343,0.01650601333424996,0.008775355864015618,1.1351370692342428,20.850607682741085,46.1904141810608,25.339806498319717,1.2153030206066622,0.0014063496214978609,0.002647787343038857,0.001241437721540996,0.8827376226821734,0.00038118521784540424,0.0005477195850998492,0.00016653436725444498,0.43688569088737766
category,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,diagnostic_pos_terminal,Travel,POS-terminal / reopening diagnostic,36957.31000000001,114.0,57.0,2,1889416.8,265.0,102.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,False,2.973055429071853e-05,0.0015931169276861335,0.001563386373395415,52.58517409759436,0.0809647822685812,4.147533452553499,4.0665686702849175,50.22638925644305,0.00024967743632238785,0.0005749874302572507,0.0003253099939348629,1.3029210757948386,0.0001248487906650296,0.00022157152979839336,9.672273913336377e-05,0.774719071111163
category,cut_2w,Cut start +/-2w,cut,2022-03-30,2022-03-28,2,2022-03-14,2022-03-28,2022-03-28,2022-04-11,2,2,0.008374059554278454,False,primary_domestic,Automotive & Fuel,Primary domestic,13409711.709999893,292877.0,188189.0,17,11786166.749999952,281585.0,180813.0,16,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,True,True,0.01081761236238778,0.00944350923813891,-0.0013741031242488697,-0.12702462227492525,29.38399690090369,25.598694728995802,-3.7853021719078868,-0.12882189528788957,0.6417355596498879,0.611626844528954,-0.030108715120933938,-0.0469176355715123,0.41234458370232474,0.39273228139284144,-0.019612302309483298,-0.04756289541477667
