category_name,min_week,max_week,user_week_category_rows,users,amount,txns
Savings,2015-10-26,2023-01-30,3972519,150732,5063001836.909934,22287527.0
Securities Trades,2015-09-28,2023-01-30,18812852,337513,3610105144.769936,32777466.0
Investment/Retirement Income,2016-10-24,2023-01-30,1490290,149798,3281062803.8600707,2034029.0
Investment Income,2015-11-02,2023-01-30,17145,9799,50674192.7599999,24944.0
Retirement Contributions,2015-12-14,2023-01-30,27788,5147,46149445.82000001,29751.0
Retirement Income,2015-11-09,2017-03-13,286,193,153917.44,313.0
