event_id,event_name,event_family,event_date,event_week,window,scope,group,label,target_group,expected_direction,n_weeks_pre,n_weeks_post,n_unique_users_pre,n_unique_users_post,source_rows_pre,source_rows_post,share_of_wallet_pre,share_of_wallet_post,share_of_wallet_diff,share_of_wallet_pct_change,participation_rate_pre,participation_rate_post,participation_rate_diff,participation_rate_pct_change,count_per_donor_week_pre,count_per_donor_week_post,count_per_donor_week_diff,count_per_donor_week_pct_change,sales_per_donor_week_pre,sales_per_donor_week_post,sales_per_donor_week_diff,sales_per_donor_week_pct_change,target_share_counterintuitive,target_participation_counterintuitive
giving_tuesday_2019,GivingTuesday 2019,giving_day,2019-12-03,2019-12-02,2,broad,aid_oxfam,Oxfam,True,up,2,2,55.0,665.0,2,3,4.396063645710248e-06,3.285112502283933e-05,2.8455061377129085e-05,6.47285018379932,0.0001646629271416974,0.0019992889263180918,0.0018346259991763943,11.141706460724116,1.0542328042328042,1.0394387116948094,-0.014794092537994796,-0.014033041353480635,63.55677248677249,49.44104479362102,-14.11572769315147,-0.2220963579623124,False,False
giving_tuesday_2019,GivingTuesday 2019,giving_day,2019-12-03,2019-12-02,2,broad,aid_red_cross,Red Cross,True,up,2,2,838.0,786.0,12,9,3.3927846035062105e-05,3.201013748567095e-05,-1.917708549391152e-06,-0.05652314465850062,0.0025109523900837816,0.002351400879734801,-0.0001595515103489805,-0.06354222843056646,1.0644648341572571,1.0805277525022747,0.016062918345017607,0.015090135276976727,32.077551727675505,33.24806258214538,1.1705108544698746,0.03649003092277752,True,True
giving_tuesday_2019,GivingTuesday 2019,giving_day,2019-12-03,2019-12-02,2,broad,aid_salvation_army,Salvation Army,False,up,2,2,175.0,207.0,6,6,8.513435564197887e-06,1.1170005794144336e-05,2.656570229946449e-06,0.31204443962884965,0.0005240837987505437,0.0006197326781448788,9.564887939433506e-05,0.18250684265067796,1.1259303561935141,1.0923831775700936,-0.03354717862342049,-0.029795074303560855,37.73227538543328,44.338324766355136,6.606049380921853,0.17507688877602512,False,False
giving_tuesday_2019,GivingTuesday 2019,giving_day,2019-12-03,2019-12-02,2,broad,aid_smith_family,Smith Family,False,up,2,2,15.0,94.0,6,6,4.95297391988379e-07,6.562960333855987e-06,6.067662941867608e-06,12.250544904968875,4.4882259484567746e-05,0.0002804190217161782,0.00023553676223161043,5.247881121328062,1.1666666666666665,1.1993464052287583,0.03267973856209183,0.028011204481793003,23.92111111111111,46.43800653594771,22.516895424836598,0.9412980576131237,False,False
giving_tuesday_2019,GivingTuesday 2019,giving_day,2019-12-03,2019-12-02,2,broad,aid_unicef,UNICEF,True,up,2,2,156.0,64.0,3,6,8.510702649551876e-06,3.6799239626650013e-06,-4.830778686886875e-06,-0.5676122038103676,0.00046810995598528516,0.00019224558390500932,-0.00027586437208027584,-0.58931532763415,1.0657596371882088,1.0185185185185186,-0.04724111866969016,-0.04432624113475183,45.63945578231292,40.74907407407407,-4.8903817082388485,-0.10715249830244608,True,True
giving_tuesday_2019,GivingTuesday 2019,giving_day,2019-12-03,2019-12-02,2,broad,aid_world_vision,World Vision,True,up,2,2,870.0,769.0,2,2,6.49335756303424e-05,5.7644202574410865e-05,-7.289373055931542e-06,-0.11225891975253148,0.002604590685579164,0.0023010631291500994,-0.00030352755642906477,-0.11653560696104982,1.088502029426687,1.0893180843261794,0.0008160548994924355,0.0007497045273514565,59.38627235540335,62.45986670956315,3.073594354159802,0.05175597376722949,True,True
giving_tuesday_2019,GivingTuesday 2019,giving_day,2019-12-03,2019-12-02,2,broad,animal,Animal / RSPCA,True,up,2,2,374.0,371.0,10,13,1.981791335091905e-05,1.849538834214236e-05,-1.322525008776689e-06,-0.066733817297438,0.0011212316466392208,0.0011129315462637943,-8.300100375426434e-06,-0.007402663312532385,1.0893507949857824,1.1019546332046333,0.012603838218850916,0.011570045459062078,46.059853818735235,44.963857384169884,-1.0959964345653503,-0.023795048045062283,True,True
giving_tuesday_2019,GivingTuesday 2019,giving_day,2019-12-03,2019-12-02,2,broad,environment,Environment,True,up,2,2,465.0,126.0,17,12,1.7441227272780305e-05,4.424527748938948e-06,-1.3016699523841357e-05,-0.7463178662980845,0.001389472970450112,0.00037742549364902403,-0.001012047476801088,-0.728367876399381,1.0226130653266332,1.0073529411764706,-0.015260124150162646,-0.014922676687382636,28.756287782194555,28.96589756592292,0.20960978372836436,0.007289180902486011,True,True
giving_tuesday_2019,GivingTuesday 2019,giving_day,2019-12-03,2019-12-02,2,broad,general_other,Other charity-like,False,up,2,2,341.0,226.0,2,2,1.1537473792413724e-05,9.266497118904361e-06,-2.2709766735093628e-06,-0.19683482834887184,0.0010197018807526752,0.0006765285729040911,-0.0003431733078485842,-0.3365427820877184,1.0586234578333615,1.043867924528302,-0.01475553330505952,-0.013938415208802407,26.319679947608584,33.91077987421384,7.591099926605253,0.28841915789690226,False,False
giving_tuesday_2019,GivingTuesday 2019,giving_day,2019-12-03,2019-12-02,2,broad,general_unmatched,General/unmatched,True,up,2,2,21251.0,24122.0,2,2,0.00204227747428674,0.002215173285498147,0.0001728958112114068,0.08465833530861923,0.06362368092785957,0.07221403301507487,0.0085903520872153,0.1350181561635135,1.255785989751431,1.2611927425632627,0.005406752811831783,0.004305473110829967,76.48542238169613,75.0671699284749,-1.4182524532212284,-0.018542781213177078,False,False
